OBJECTID_1,FULLADDR,ADDRNUM,STREETNAME,STREETSUFF
62557,BLK 4700 MCKINLEY DR,4700,MCKINLEY,DR
62563,INT AGATE RD & EMERALD RD, , , 
62576,INT FRANKLIN DR & GIBBS AVE, , , 
62596,INT REDWOOD AVE & RIVERSIDE DR, , , 
62601,INT OAKWOOD PL & WONDERLAND HILL AVE, , , 
62607,3891 NORTHBROOK DR,3891,NORTHBROOK,DR
62609,1730 6TH ST,1730,6TH,ST
62646,INT KINGS RIDGE BLVD & SENTINEL DR, , , 
62660,INT STERLING CIR W & STERLING CIR E, , , 
62679,INT 4TH ST & ARAPAHOE AVE, , , 
62683,3800 BIRCHWOOD DR,3800,BIRCHWOOD,DR
62685,5423 CENTENNIAL TRL,5423,CENTENNIAL,TRL
62689,2634 WINDING TRAIL DR,2634,WINDING TRAIL,DR
62691,1401 HARRISON AVE,1401,HARRISON,AVE
62695,2713 WINDING TRAIL PL,2713,WINDING TRAIL,PL
62696,4816 EDISON AVE,4816,EDISON,AVE
62701,3650 ROUNDTREE CT,3650,ROUNDTREE,CT
62703,1100 VIOLET AVE,1100,VIOLET,AVE
62704,90 MINEOLA CT,90,MINEOLA,CT
62705,2575 50TH ST,2575,50TH,ST
62707,1888 VIOLET AVE,1888,VIOLET,AVE
62708,5551 STONEWALL PL,5551,STONEWALL,PL
62709,2545 50TH ST,2545,50TH,ST
62714,3668 ROUNDTREE CT,3668,ROUNDTREE,CT
62715,5098 VALMONT RD,5098,VALMONT,RD
62716,752 COTTAGE LN,752,COTTAGE,LN
62719,3735 SILVER PLUME LN,3735,SILVER PLUME,LN
62721,3699 ROUNDTREE CT,3699,ROUNDTREE,CT
62724,INT LINDEN DR & SPRING VALLEY RD, , , 
62728,INT 55TH ST & FLATIRON PKWY, , , 
62734,BLK 1800 S FLATIRON CT,1800,FLATIRON,CT
62737,BLK 200 BROOKSIDE CT,200,BROOKSIDE,CT
62738,BLK 6100 N 51ST ST,6100,51ST,ST
62740,BLK 00 S BOULDER CIR,00,BOULDER,CIR
62741,BLK 100 55TH ST,100,55TH,ST
62742,BLK 200 WILLOW GLEN CT,200,WILLOW GLEN,CT
62743,BLK 5600 55TH ST,5600,55TH,ST
